Path,Class,Atom,Snippet,Line
/home/jovyan/work/workspace/Qualificacao/repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/crypto/KeyStoreHandle.java,com.beemdevelopment.aegis.crypto.KeyStoreHandle,Logic as Control Flow,"if ((cause != null) && cause.getClass().getName().equals(""android.security.KeyStoreException"")) {     throw new KeyStoreHandleException(cause); }",68
/home/jovyan/work/workspace/Qualificacao/repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/crypto/KeyStoreHandle.java,com.beemdevelopment.aegis.crypto.KeyStoreHandle,Logic as Control Flow,if (isSupported() && isKeyPermanentlyInvalidated(key)) {     return null; },90
/home/jovyan/work/workspace/Qualificacao/repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/icons/IconPackManager.java,com.beemdevelopment.aegis.icons.IconPackManager,Logic as Control Flow,"if ((!packDir.exists()) && (!packDir.mkdirs())) {     throw new IOException(String.format(""Unable to create directories: %s"" packDir.toString())); }",87
/home/jovyan/work/workspace/Qualificacao/repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/icons/IconPackManager.java,com.beemdevelopment.aegis.icons.IconPackManager,Logic as Control Flow,"if (((parent != null) && (!parent.exists())) && (!parent.mkdirs())) {     throw new IOException(String.format(""Unable to create directories: %s"" packDir.toString())); }",101
/home/jovyan/work/workspace/Qualificacao/repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/icons/IconPackManager.java,com.beemdevelopment.aegis.icons.IconPackManager,Logic as Control Flow,((parent != null) && (!parent.exists())) && (!parent.mkdirs()),101
/home/jovyan/work/workspace/Qualificacao/repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/icons/IconPackManager.java,com.beemdevelopment.aegis.icons.IconPackManager,Logic as Control Flow,if (pack.getUUID().equals(uuid) && (pack.getVersion() == Integer.parseInt(versionDir.getName()))) {     _iconPacks.add(pack); },166
/home/jovyan/work/workspace/Qualificacao/repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/helpers/SimpleItemTouchHelperCallback.java,com.beemdevelopment.aegis.helpers.SimpleItemTouchHelperCallback,Logic as Control Flow,if ((adapter.isPositionFooter(position) || (adapter.getEntryAt(position) != _selectedEntry)) || (!isLongPressDragEnabled())) {     return makeMovementFlags(0 swipeFlags); },67
/home/jovyan/work/workspace/Qualificacao/repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/helpers/SimpleItemTouchHelperCallback.java,com.beemdevelopment.aegis.helpers.SimpleItemTouchHelperCallback,Logic as Control Flow,(adapter.isPositionFooter(position) || (adapter.getEntryAt(position) != _selectedEntry)) || (!isLongPressDragEnabled()),67
/home/jovyan/work/workspace/Qualificacao/repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/ui/ImportEntriesActivity.java,com.beemdevelopment.aegis.ui.ImportEntriesActivity,Logic as Control Flow,if ((_vaultManager.getVault().getEntries().size() > 0) && _menu.findItem(R.id.toggle_wipe_vault).isChecked()) {     showWipeEntriesDialog(); } else {     saveAndFinish(false); },72
/home/jovyan/work/workspace/Qualificacao/repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/ui/ImportEntriesActivity.java,com.beemdevelopment.aegis.ui.ImportEntriesActivity,Logic as Control Flow,if ((shell == null) || (!shell.isRoot())) {     Toast.makeText(this R.string.root_error Toast.LENGTH_SHORT).show();     finish();     return; },126
/home/jovyan/work/workspace/Qualificacao/repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/ui/AuthActivity.java,com.beemdevelopment.aegis.ui.AuthActivity,Logic as Control Flow,((event != null) && (event.getKeyCode() == KeyEvent.KEYCODE_ENTER)) || (actionId == EditorInfo.IME_ACTION_DONE),81
/home/jovyan/work/workspace/Qualificacao/repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/ui/AuthActivity.java,com.beemdevelopment.aegis.ui.AuthActivity,Logic as Control Flow,if (_slots.has(BiometricSlot.class) && BiometricsHelper.isAvailable(this)) {     boolean invalidated = false;     try {         for (BiometricSlot slot : _slots.findAll(BiometricSlot.class)) {             String id = slot.getUUID().toString();             KeyStoreHandle handle = new KeyStoreHandle();             if (handle.containsKey(id)) {                 SecretKey key = handle.getKey(id);                 if (key == null) {                     invalidated = true;                     continue;                 }                 _bioSlot = slot;                 _bioKey = key;                 biometricsButton.setVisibility(VISIBLE);                 invalidated = false;                 break;             }         }     } catch (KeyStoreHandleException e) {         e.printStackTrace();         Dialogs.showErrorDialog(this biometric_init_error e);     }     if (invalidated) {         boxBiometricInfo.setVisibility(VISIBLE);         biometricsButton.setVisibility(GONE);     } },118
/home/jovyan/work/workspace/Qualificacao/repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/ui/AuthActivity.java,com.beemdevelopment.aegis.ui.AuthActivity,Logic as Control Flow,if ((_bioKey != null) && _prefs.isPasswordReminderNeeded()) {     showPasswordReminder(); },224
/home/jovyan/work/workspace/Qualificacao/repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/helpers/TextDrawableHelper.java,com.beemdevelopment.aegis.helpers.TextDrawableHelper,Logic as Control Flow,if ((text == null) || text.isEmpty()) {     if ((fallback == null) || fallback.isEmpty()) {         return null;     }     text = fallback; },40
/home/jovyan/work/workspace/Qualificacao/repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/helpers/TextDrawableHelper.java,com.beemdevelopment.aegis.helpers.TextDrawableHelper,Logic as Control Flow,if ((fallback == null) || fallback.isEmpty()) {     return null; },41
/home/jovyan/work/workspace/Qualificacao/repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/ui/fragments/preferences/IconPacksManagerFragment.java,com.beemdevelopment.aegis.ui.fragments.preferences.IconPacksManagerFragment,Logic as Control Flow,if ((((requestCode == CODE_IMPORT) && (resultCode == Activity.RESULT_OK)) && (data != null)) && (data.getData() != null)) {     importIconPack(data.getData()); },121
/home/jovyan/work/workspace/Qualificacao/repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/ui/intro/SlideIndicator.java,com.beemdevelopment.aegis.ui.intro.SlideIndicator,Infix Operator Precedence,(spaceDp / 2) + (dotDp / 2) + dotDp * (_slideCount / 2f - 1) + spaceDp * (_slideCount / 2f - 1),79
/home/jovyan/work/workspace/Qualificacao/repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/ui/intro/SlideIndicator.java,com.beemdevelopment.aegis.ui.intro.SlideIndicator,Infix Operator Precedence,(_slideCount - 1) * (dotDp / 2) + spaces * spaceDp,82
/home/jovyan/work/workspace/Qualificacao/repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/ui/intro/SlideIndicator.java,com.beemdevelopment.aegis.ui.intro.SlideIndicator,Conditional Operator,(_slideCount > 1) ? _slideCount - 2 : 0,81
/home/jovyan/work/workspace/Qualificacao/repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/ui/intro/SlideIndicator.java,com.beemdevelopment.aegis.ui.intro.SlideIndicator,Conditional Operator,(isRtl()) ? (_slideCount - 1) - _slideIndex : _slideIndex,88
/home/jovyan/work/workspace/Qualificacao/repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/ui/intro/SlideIndicator.java,com.beemdevelopment.aegis.ui.intro.SlideIndicator,Conditional Operator,i == slideIndex ? _dotColorSelected : _dotColor,89
/home/jovyan/work/workspace/Qualificacao/repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/ui/tasks/ProgressDialogTask.java,com.beemdevelopment.aegis.ui.tasks.ProgressDialogTask,Logic as Control Flow,if ((_dialog != null) && _dialog.isShowing()) {     _dialog.dismiss();     _dialog = null; },74
/home/jovyan/work/workspace/Qualificacao/repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/importers/BitwardenImporter.java,com.beemdevelopment.aegis.importers.BitwardenImporter,Logic as Control Flow,if ((entry != null) && (!entry.isEmpty())) {     entries.add(entry); },69
/home/jovyan/work/workspace/Qualificacao/repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/ui/dialogs/IconPickerDialog.java,com.beemdevelopment.aegis.ui.dialogs.IconPickerDialog,Conditional Operator,query.isEmpty() ? null : query,104
/home/jovyan/work/workspace/Qualificacao/repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/icons/IconPack.java,com.beemdevelopment.aegis.icons.IconPack,Conditional Operator,"(obj.isNull(""category"")) ? null : obj.getString(""category"")",172
/home/jovyan/work/workspace/Qualificacao/repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/icons/IconPack.java,com.beemdevelopment.aegis.icons.IconPack,Logic as Control Flow,if ((issuer == null) || issuer.isEmpty()) {     return new ArrayList<>(); },57
/home/jovyan/work/workspace/Qualificacao/repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/icons/IconPack.java,com.beemdevelopment.aegis.icons.IconPack,Logic as Control Flow,return super.equals(pack) || (getUUID().equals(pack.getUUID()) && (getVersion() == pack.getVersion())),87
/home/jovyan/work/workspace/Qualificacao/repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/icons/IconPack.java,com.beemdevelopment.aegis.icons.IconPack,Logic as Control Flow,super.equals(pack) || (getUUID().equals(pack.getUUID()) && (getVersion() == pack.getVersion())),87
/home/jovyan/work/workspace/Qualificacao/repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/icons/IconPack.java,com.beemdevelopment.aegis.icons.IconPack,Logic as Control Flow,( is) -> is.contains(lowerIssuer) || lowerIssuer.contains(is),167
/home/jovyan/work/workspace/Qualificacao/repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/ui/slides/SecuritySetupSlide.java,com.beemdevelopment.aegis.ui.slides.SecuritySetupSlide,Conditional Operator,"_textPassword.getText().length() != 0 ? PasswordStrengthHelper.getString(strength.getScore() requireContext()) : """"",87
/home/jovyan/work/workspace/Qualificacao/repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/ui/PanicResponderActivity.java,com.beemdevelopment.aegis.ui.PanicResponderActivity,Logic as Control Flow,if ((intent != null) && PANIC_TRIGGER_ACTION.equals(intent.getAction())) {     VaultRepository.deleteFile(this);     _vaultManager.lock(false);     finishApp();     return; },39
/home/jovyan/work/workspace/Qualificacao/repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/AegisApplicationBase.java,com.beemdevelopment.aegis.AegisApplicationBase,Logic as Control Flow,if (((event == Event.ON_STOP) && _vaultManager.isAutoLockEnabled(AUTO_LOCK_ON_MINIMIZE)) && (!_vaultManager.isAutoLockBlocked())) {     _vaultManager.lock(false); },113
/home/jovyan/work/workspace/Qualificacao/repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/AegisApplicationBase.java,com.beemdevelopment.aegis.AegisApplicationBase,Logic as Control Flow,((event == Event.ON_STOP) && _vaultManager.isAutoLockEnabled(AUTO_LOCK_ON_MINIMIZE)) && (!_vaultManager.isAutoLockBlocked()),113
