Path,Class,Atom,Snippet,Line
/home/jovyan/work/workspace/Qualificacao/repos/AmazeFileManager/app/src/main/java/com/amaze/filemanager/utils/MainActivityHelper.java,com.amaze.filemanager.utils.MainActivityHelper,Logic as Control Flow,if ((((a != null) && (a.trim().length() != 0)) && new File(a).exists()) && new File(a).canExecute()) {     dataUtils.getStorages().add(a);     mainActivity.getDrawer().refreshDrawer(); } else {     mainActivity.getDrawer().refreshDrawer(); },141
/home/jovyan/work/workspace/Qualificacao/repos/AmazeFileManager/app/src/main/java/com/amaze/filemanager/utils/MainActivityHelper.java,com.amaze.filemanager.utils.MainActivityHelper,Logic as Control Flow,(((a != null) && (a.trim().length() != 0)) && new File(a).exists()) && new File(a).canExecute(),141
/home/jovyan/work/workspace/Qualificacao/repos/AmazeFileManager/app/src/main/java/com/amaze/filemanager/utils/MainActivityHelper.java,com.amaze.filemanager.utils.MainActivityHelper,Logic as Control Flow,(((a != null) && (a.trim().length() != 0)) && new File(a).exists()),141
/home/jovyan/work/workspace/Qualificacao/repos/AmazeFileManager/app/src/main/java/com/amaze/filemanager/utils/MainActivityHelper.java,com.amaze.filemanager.utils.MainActivityHelper,Logic as Control Flow,"if ((!isValidFilename) || text.startsWith("" "")) {     return new WarnableTextInputValidator.ReturnState(WarnableTextInputValidator.ReturnState.STATE_ERROR R.string.invalid_name); } else if (text.length() < 1) {     return new WarnableTextInputValidator.ReturnState(WarnableTextInputValidator.ReturnState.STATE_ERROR R.string.field_empty); }",185
/home/jovyan/work/workspace/Qualificacao/repos/AmazeFileManager/app/src/main/java/com/amaze/filemanager/utils/MainActivityHelper.java,com.amaze.filemanager.utils.MainActivityHelper,Logic as Control Flow,"if ((!isValidFilename) || text.startsWith("" "")) {     return new WarnableTextInputValidator.ReturnState(WarnableTextInputValidator.ReturnState.STATE_ERROR R.string.invalid_name); } else {     SharedPreferences prefs = PreferenceManager.getDefaultSharedPreferences(mainActivity);     if (text.startsWith(""."") && (!prefs.getBoolean(PreferencesConstants.PREFERENCE_SHOW_HIDDENFILES false))) {         return new WarnableTextInputValidator.ReturnState(WarnableTextInputValidator.ReturnState.STATE_WARNING R.string.create_hidden_file_warn);     } else if (!text.toLowerCase().endsWith(AppConstants.NEW_FILE_DELIMITER.concat(AppConstants.NEW_FILE_EXTENSION_TXT))) {         return new WarnableTextInputValidator.ReturnState(WarnableTextInputValidator.ReturnState.STATE_WARNING R.string.create_file_suggest_txt_extension);     } }",222
/home/jovyan/work/workspace/Qualificacao/repos/AmazeFileManager/app/src/main/java/com/amaze/filemanager/utils/MainActivityHelper.java,com.amaze.filemanager.utils.MainActivityHelper,Logic as Control Flow,"if (text.startsWith(""."") && (!prefs.getBoolean(PreferencesConstants.PREFERENCE_SHOW_HIDDENFILES false))) {     return new WarnableTextInputValidator.ReturnState(WarnableTextInputValidator.ReturnState.STATE_WARNING R.string.create_hidden_file_warn); } else if (!text.toLowerCase().endsWith(AppConstants.NEW_FILE_DELIMITER.concat(AppConstants.NEW_FILE_EXTENSION_TXT))) {     return new WarnableTextInputValidator.ReturnState(WarnableTextInputValidator.ReturnState.STATE_WARNING R.string.create_file_suggest_txt_extension); }",227
/home/jovyan/work/workspace/Qualificacao/repos/AmazeFileManager/app/src/main/java/com/amaze/filemanager/utils/MainActivityHelper.java,com.amaze.filemanager.utils.MainActivityHelper,Logic as Control Flow,"if (b || newFile.exists(context)) {     Intent intent = new Intent(MainActivity.KEY_INTENT_LOAD_LIST);     intent.putExtra(MainActivity.KEY_INTENT_LOAD_LIST_FILE hFile.getParent(context));     mainActivity.sendBroadcast(intent);     if (oldPath.endsWith(CryptUtil.CRYPT_EXTENSION)) {         try {             CryptHandler cryptHandler = CryptHandler.INSTANCE;             EncryptedEntry oldEntry = cryptHandler.findEntry(oldPath);             EncryptedEntry newEntry = new EncryptedEntry();             newEntry.setId(oldEntry.getId());             newEntry.setPassword(oldEntry.getPassword());             newEntry.setPath(newPath);             cryptHandler.updateEntry(oldEntry newEntry);         } catch (Exception e) {             MainActivityHelper.LOG.warn(""failure after rename couldn't change the encrypted entry"" com.amaze.filemanager.utils.e);         }     } } else     Toast.makeText(context context.getString(R.string.operation_unsuccesful) Toast.LENGTH_SHORT).show(); ",403
/home/jovyan/work/workspace/Qualificacao/repos/AmazeFileManager/app/src/main/java/com/amaze/filemanager/utils/MainActivityHelper.java,com.amaze.filemanager.utils.MainActivityHelper,Logic as Control Flow,if (SFTP.equals(openMode) || FTP.equals(openMode)) {     int result = INSTANCE.checkFolder(path);     return result; } else if (DOCUMENT_FILE.equals(openMode)) {     DocumentFile d = DocumentFile.fromTreeUri(AppConfig.getInstance() SafRootHolder.getUriRoot());     if (d == null)         return DOESNT_EXIST;     else {         return WRITABLE_OR_ON_SDCARD;     } } else {     File folder = new File(path);     if (VERSION.SDK_INT >= VERSION_CODES.LOLLIPOP) {         if (ExternalSdCardOperation.isOnExtSdCard(folder context)) {             if ((!folder.exists()) || (!folder.isDirectory())) {                 return DOESNT_EXIST;             }             if (!FileProperties.isWritableNormalOrSaf(folder context)) {                 guideDialogForLEXA(folder.getPath());                 return CAN_CREATE_FILES;             }             return WRITABLE_OR_ON_SDCARD;         } else if (FileProperties.isWritable(new File(folder FileUtils.DUMMY_FILE))) {             return WRITABLE_OR_ON_SDCARD;         } else             return DOESNT_EXIST;      } else if (VERSION.SDK_INT == 19) {         if (ExternalSdCardOperation.isOnExtSdCard(folder context)) {             return WRITABLE_OR_ON_SDCARD;         } else if (FileProperties.isWritable(new File(folder FileUtils.DUMMY_FILE))) {             return WRITABLE_OR_ON_SDCARD;         } else             return DOESNT_EXIST;      } else if (FileProperties.isWritable(new File(folder FileUtils.DUMMY_FILE))) {         return WRITABLE_OR_ON_SDCARD;     } else {         return DOESNT_EXIST;     } },456
/home/jovyan/work/workspace/Qualificacao/repos/AmazeFileManager/app/src/main/java/com/amaze/filemanager/utils/MainActivityHelper.java,com.amaze.filemanager.utils.MainActivityHelper,Logic as Control Flow,if ((!folder.exists()) || (!folder.isDirectory())) {     return DOESNT_EXIST; },470
/home/jovyan/work/workspace/Qualificacao/repos/AmazeFileManager/app/src/main/java/com/amaze/filemanager/utils/MainActivityHelper.java,com.amaze.filemanager.utils.MainActivityHelper,Logic as Control Flow,if ((ma != null) && (ma.getActivity() != null)) {     mkfile(file.getMode() file.getParent(mainActivity.getApplicationContext()) ma); },540
