Path,Class,Atom,Snippet,Line
/home/jovyan/work/workspace/Qualificacao/repos/AppManager/app/src/main/java/io/github/muntashirakon/AppManager/dex/DexClasses.java,io.github.muntashirakon.AppManager.dex.DexClasses,Conditional Operator,(apiLevel < 0) ? Opcodes.getDefault() : Opcodes.forApi(apiLevel),41
/home/jovyan/work/workspace/Qualificacao/repos/AppManager/app/src/main/java/io/github/muntashirakon/AppManager/dex/DexClasses.java,io.github.muntashirakon.AppManager.dex.DexClasses,Conditional Operator,(apiLevel < 0) ? Opcodes.getDefault() : Opcodes.forApi(apiLevel),88
/home/jovyan/work/workspace/Qualificacao/repos/AppManager/app/src/main/java/io/github/muntashirakon/AppManager/dex/DexClasses.java,io.github.muntashirakon.AppManager.dex.DexClasses,Logic as Control Flow,if (((classes == null) || classes.isEmpty()) || (!classes.contains(className))) {     throw new ClassNotFoundException(); },151
/home/jovyan/work/workspace/Qualificacao/repos/AppManager/app/src/main/java/io/github/muntashirakon/AppManager/dex/DexClasses.java,io.github.muntashirakon.AppManager.dex.DexClasses,Logic as Control Flow,((classes == null) || classes.isEmpty()) || (!classes.contains(className)),151
/home/jovyan/work/workspace/Qualificacao/repos/AppManager/libcore/ui/src/main/java/io/github/muntashirakon/dialog/TextInputDropdownDialogBuilder.java,io.github.muntashirakon.dialog.TextInputDropdownDialogBuilder,Conditional Operator,"selectedItem == null ? """" : selectedItem.toString()",99
/home/jovyan/work/workspace/Qualificacao/repos/AppManager/libcore/ui/src/main/java/io/github/muntashirakon/dialog/TextInputDropdownDialogBuilder.java,io.github.muntashirakon.dialog.TextInputDropdownDialogBuilder,Conditional Operator,helperText == null ? null : mActivity.getText(helperText),133
/home/jovyan/work/workspace/Qualificacao/repos/AppManager/libcore/ui/src/main/java/io/github/muntashirakon/dialog/TextInputDropdownDialogBuilder.java,io.github.muntashirakon.dialog.TextInputDropdownDialogBuilder,Conditional Operator,inputText == null ? null : mActivity.getText(inputText),134
/home/jovyan/work/workspace/Qualificacao/repos/AppManager/app/src/main/java/io/github/muntashirakon/AppManager/sharedpref/SharedPrefsUtil.java,io.github.muntashirakon.AppManager.sharedpref.SharedPrefsUtil,Logic as Control Flow,"while ((event != XmlPullParser.END_TAG) || (!Objects.equals(tagName TAG_SET))) {     if (event == XmlPullParser.START_TAG) {         if (!Objects.equals(tagName TAG_STRING)) {             throw new XmlPullParserException(""Invalid tag inside <set>: "" + tagName);         }         stringSet.add(parser.nextText());     }     event = parser.next();     tagName = parser.getName(); } ",81
/home/jovyan/work/workspace/Qualificacao/repos/AppManager/app/src/main/java/io/github/muntashirakon/AppManager/runningapps/RunningAppsActivity.java,io.github.muntashirakon.AppManager.runningapps.RunningAppsActivity,Logic as Control Flow,if (((mAdapter != null) && (mMultiSelectionView != null)) && mAdapter.isInSelectionMode()) {     mMultiSelectionView.cancel();     return; },226
/home/jovyan/work/workspace/Qualificacao/repos/AppManager/app/src/main/java/io/github/muntashirakon/AppManager/runningapps/RunningAppsActivity.java,io.github.muntashirakon.AppManager.runningapps.RunningAppsActivity,Logic as Control Flow,viewLogs.setEnabled(FeatureController.isLogViewerEnabled() && (selectedItems.size() == 1)),363
