Path,Class,Atom,Snippet,Line
/home/jovyan/work/workspace/Qualificacao/repos/Launcher3/src/com/google/android/apps/nexuslauncher/clock/ClockLayers.java,com.google.android.apps.nexuslauncher.clock.ClockLayers,Infix Operator Precedence,hour * 60 + mCurrentTime.get(Calendar.MINUTE),58
/home/jovyan/work/workspace/Qualificacao/repos/Launcher3/src/com/google/android/apps/nexuslauncher/clock/ClockLayers.java,com.google.android.apps.nexuslauncher.clock.ClockLayers,Infix Operator Precedence,minute + mCurrentTime.get(Calendar.HOUR) * 60,61
/home/jovyan/work/workspace/Qualificacao/repos/Launcher3/src/com/google/android/apps/nexuslauncher/clock/ClockLayers.java,com.google.android.apps.nexuslauncher.clock.ClockLayers,Logic as Control Flow,if ((mHourIndex != (-1)) && mLayerDrawable.getDrawable(mHourIndex).setLevel((hour * 60) + mCurrentTime.get(Calendar.MINUTE))) {     hasChanged = true; },58
/home/jovyan/work/workspace/Qualificacao/repos/Launcher3/src/com/google/android/apps/nexuslauncher/clock/ClockLayers.java,com.google.android.apps.nexuslauncher.clock.ClockLayers,Logic as Control Flow,if ((mMinuteIndex != (-1)) && mLayerDrawable.getDrawable(mMinuteIndex).setLevel(minute + (mCurrentTime.get(Calendar.HOUR) * 60))) {     hasChanged = true; },61
/home/jovyan/work/workspace/Qualificacao/repos/Launcher3/src/com/google/android/apps/nexuslauncher/clock/ClockLayers.java,com.google.android.apps.nexuslauncher.clock.ClockLayers,Logic as Control Flow,if ((mSecondIndex != (-1)) && mLayerDrawable.getDrawable(mSecondIndex).setLevel(second * 10)) {     hasChanged = true; },64
/home/jovyan/work/workspace/Qualificacao/repos/Launcher3/src/com/android/launcher3/BubbleTextView.java,com.android.launcher3.BubbleTextView,Conditional Operator,info.isDisabled() ? getContext().getString(disabled_app_label info.contentDescription) : info.contentDescription,225
/home/jovyan/work/workspace/Qualificacao/repos/Launcher3/src/com/android/launcher3/BubbleTextView.java,com.android.launcher3.BubbleTextView,Conditional Operator,(getParent() instanceof FolderIcon) ? ((View) (getParent())).getTag() : getTag(),444
/home/jovyan/work/workspace/Qualificacao/repos/Launcher3/src/com/android/launcher3/BubbleTextView.java,com.android.launcher3.BubbleTextView,Conditional Operator,(tag instanceof ItemInfo) ? ((ItemInfo) (tag)) : null,445
/home/jovyan/work/workspace/Qualificacao/repos/Launcher3/src/com/android/launcher3/BubbleTextView.java,com.android.launcher3.BubbleTextView,Conditional Operator,(shouldTextBeVisible() && fadeIn) ? Color.alpha(mTextColor) : 0,470
/home/jovyan/work/workspace/Qualificacao/repos/Launcher3/src/com/android/launcher3/BubbleTextView.java,com.android.launcher3.BubbleTextView,Conditional Operator,(isPromise) ? info.hasStatusFlag(FLAG_INSTALL_SESSION_ACTIVE) ? info.getInstallProgress() : 0 : 100,485
/home/jovyan/work/workspace/Qualificacao/repos/Launcher3/src/com/android/launcher3/BubbleTextView.java,com.android.launcher3.BubbleTextView,Conditional Operator,info.hasStatusFlag(FLAG_INSTALL_SESSION_ACTIVE) ? info.getInstallProgress() : 0,486
/home/jovyan/work/workspace/Qualificacao/repos/Launcher3/src/com/android/launcher3/BubbleTextView.java,com.android.launcher3.BubbleTextView,Conditional Operator,progressLevel > 0 ? getContext().getString(app_downloading_title info.title NumberFormat.getPercentInstance().format(progressLevel * 0.01)) : getContext().getString(app_waiting_download_title info.title),499
/home/jovyan/work/workspace/Qualificacao/repos/Launcher3/src/com/android/launcher3/BubbleTextView.java,com.android.launcher3.BubbleTextView,Conditional Operator,(isBadged) ? 1.0F : 0,526
/home/jovyan/work/workspace/Qualificacao/repos/Launcher3/src/com/android/launcher3/BubbleTextView.java,com.android.launcher3.BubbleTextView,Logic as Control Flow,if (promiseStateChanged || info.hasPromiseIconUi()) {     applyPromiseState(promiseStateChanged); },187
/home/jovyan/work/workspace/Qualificacao/repos/Launcher3/src/com/android/launcher3/BubbleTextView.java,com.android.launcher3.BubbleTextView,Logic as Control Flow,if ((parent != null) && (parent.getParent() instanceof BubbleTextShadowHandler)) {     ((BubbleTextShadowHandler) (parent.getParent())).setPressedIcon(this mPressedBackground); },325
/home/jovyan/work/workspace/Qualificacao/repos/Launcher3/src/com/android/launcher3/BubbleTextView.java,com.android.launcher3.BubbleTextView,Logic as Control Flow,if ((!mForceHideBadge) && (hasBadge() || (mBadgeScale > 0))) {     getIconBounds(mTempIconBounds);     mTempSpaceForBadgeOffset.set((getWidth() - mIconSize) / 2 getPaddingTop());     final int scrollX = getScrollX();     final int scrollY = getScrollY();     canvas.translate(scrollX scrollY);     mBadgeRenderer.draw(canvas mBadgePalette mBadgeInfo mTempIconBounds mBadgeScale mTempSpaceForBadgeOffset);     canvas.translate(-scrollX -scrollY); },380
/home/jovyan/work/workspace/Qualificacao/repos/Launcher3/src/com/android/launcher3/BubbleTextView.java,com.android.launcher3.BubbleTextView,Logic as Control Flow,if ((animate && (wasBadged ^ isBadged)) && isShown()) {     ObjectAnimator.ofFloat(this BADGE_SCALE_PROPERTY newBadgeScale).start(); } else {     mBadgeScale = newBadgeScale;     invalidate(); },534
/home/jovyan/work/workspace/Qualificacao/repos/Launcher3/src/com/android/launcher3/popup/PopupDataProvider.java,com.android.launcher3.popup.PopupDataProvider,Conditional Operator,(shouldBeFilteredOut) ? badgeInfo.removeNotificationKey(notificationKey) : badgeInfo.addOrUpdateNotificationKey(notificationKey),91
