Path,Class,Atom,Snippet,Line
/home/jovyan/work/workspace/Qualificacao/repos/MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/MainMenu.java,de.syss.MifareClassicTool.Activities.MainMenu,Logic as Control Flow,if ((!Common.hasMifareClassicSupport()) && (!Common.useAsEditorOnly())) {     runStartUpNode(StartUpNode.HasExternalNfc); } else {     runStartUpNode(StartUpNode.HasNfcEnabled); },184
/home/jovyan/work/workspace/Qualificacao/repos/MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/MainMenu.java,de.syss.MifareClassicTool.Activities.MainMenu,Logic as Control Flow,if ((!Common.hasExternalNfcInstalled(this)) && (!Common.useAsEditorOnly())) {     if (mHasNoNfc) {         createInstallExternalNfcDialog().show();     } else {         AlertDialog ad = createHasNoMifareClassicSupportDialog();         ad.show();         ((TextView) (ad.findViewById(message))).setMovementMethod(LinkMovementMethod.getInstance());     } } else {     runStartUpNode(StartUpNode.ExternalNfcServiceRunning); },207
/home/jovyan/work/workspace/Qualificacao/repos/MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/MainMenu.java,de.syss.MifareClassicTool.Activities.MainMenu,Logic as Control Flow,"if ((!path.exists()) && (!path.mkdirs())) {     Log.e(LOG_TAG (((""Error while creating '"" + Common.HOME_DIR) + ""/"") + Common.KEYS_DIR) + ""' directory."");     return; }",590
/home/jovyan/work/workspace/Qualificacao/repos/MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/MainMenu.java,de.syss.MifareClassicTool.Activities.MainMenu,Logic as Control Flow,"if ((!path.exists()) && (!path.mkdirs())) {     Log.e(LOG_TAG (((""Error while creating '"" + Common.HOME_DIR) + ""/"") + Common.DUMPS_DIR) + ""' directory."");     return; }",599
/home/jovyan/work/workspace/Qualificacao/repos/MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/MainMenu.java,de.syss.MifareClassicTool.Activities.MainMenu,Logic as Control Flow,"if ((!path.exists()) && (!path.mkdirs())) {     Log.e(LOG_TAG ((""Error while creating '"" + Common.HOME_DIR) + Common.TMP_DIR) + ""' directory."");     return; }",608
/home/jovyan/work/workspace/Qualificacao/repos/MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/MainMenu.java,de.syss.MifareClassicTool.Activities.MainMenu,Logic as Control Flow,if (file.isDirectory() && ((file.listFiles() == null) || (file.listFiles().length == 0))) {     Toast.makeText(this info_no_dumps LENGTH_LONG).show(); },756
/home/jovyan/work/workspace/Qualificacao/repos/MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/MainMenu.java,de.syss.MifareClassicTool.Activities.MainMenu,Logic as Control Flow,file.isDirectory() && ((file.listFiles() == null) || (file.listFiles().length == 0)),756
/home/jovyan/work/workspace/Qualificacao/repos/MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/DataConversionTool.java,de.syss.MifareClassicTool.Activities.DataConversionTool,Logic as Control Flow,"if ((hex == null) || hex.equals("""")) {     Toast.makeText(this info_convert_error LENGTH_SHORT).show();     return; }",87
/home/jovyan/work/workspace/Qualificacao/repos/MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/DataConversionTool.java,de.syss.MifareClassicTool.Activities.DataConversionTool,Logic as Control Flow,"if (((bin != null) && ((bin.length() % 8) == 0)) && bin.matches(""[0-1]+"")) {     return true; }",112
/home/jovyan/work/workspace/Qualificacao/repos/MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/DataConversionTool.java,de.syss.MifareClassicTool.Activities.DataConversionTool,Logic as Control Flow,"((bin != null) && ((bin.length() % 8) == 0)) && bin.matches(""[0-1]+"")",112
/home/jovyan/work/workspace/Qualificacao/repos/MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/DataConversionTool.java,de.syss.MifareClassicTool.Activities.DataConversionTool,Logic as Control Flow,"if ((!hex.equals("""")) && (!Common.isHex(hex this))) {     return; }",129
/home/jovyan/work/workspace/Qualificacao/repos/MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/DataConversionTool.java,de.syss.MifareClassicTool.Activities.DataConversionTool,Logic as Control Flow,"if ((!hex.equals("""")) && (!Common.isHex(hex this))) {     return; }",157
/home/jovyan/work/workspace/Qualificacao/repos/MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/MCReader.java,de.syss.MifareClassicTool.MCReader,Infix Operator Precedence,c1 == 0                 && (c2 == 0 && c3 == 0)                 || (c2 == 1 && c3 == 0)                 || (c2 == 0 && c3 == 1),1057
/home/jovyan/work/workspace/Qualificacao/repos/MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/MCReader.java,de.syss.MifareClassicTool.MCReader,Infix Operator Precedence,32 + (blockIndex - 32 * 4) / 16,1141
/home/jovyan/work/workspace/Qualificacao/repos/MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/MCReader.java,de.syss.MifareClassicTool.MCReader,Conditional Operator,(firstResult != null) ? firstResult.length : secondResult.length,735
/home/jovyan/work/workspace/Qualificacao/repos/MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/MCReader.java,de.syss.MifareClassicTool.MCReader,Logic as Control Flow,"if ((oldTechExtras[i] != null) && oldTechExtras[i].containsKey(""sak"")) {     sak = ((short) (sak | oldTechExtras[i].getShort(""sak"")));     isFirstSak = nfcaIdx == i; }",153
/home/jovyan/work/workspace/Qualificacao/repos/MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/MCReader.java,de.syss.MifareClassicTool.MCReader,Logic as Control Flow,if ((keyMap != null) && (keyMap.size() > 0)) {     resultSparseArray = new SparseArray<>(keyMap.size());     for (int i = 0; i < keyMap.size(); i++) {         String[][] results = new String[2][];         try {             if (keyMap.valueAt(i)[0] != null) {                 results[0] = readSector(keyMap.keyAt(i) keyMap.valueAt(i)[0] false);             }             if (keyMap.valueAt(i)[1] != null) {                 results[1] = readSector(keyMap.keyAt(i) keyMap.valueAt(i)[1] true);             }         } catch (TagLostException e) {             return null;         }         if ((results[0] != null) || (results[1] != null)) {             resultSparseArray.put(keyMap.keyAt(i) mergeSectorData(results[0] results[1]));         }     }     return resultSparseArray; },246
/home/jovyan/work/workspace/Qualificacao/repos/MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/MCReader.java,de.syss.MifareClassicTool.MCReader,Logic as Control Flow,if (mHasAllZeroKey && (!keys[0].equals(DEFAULT_KEY))) {     mKeysWithOrder.add(1 keys[0]); } else {     mKeysWithOrder.add(0 keys[0]); },681
/home/jovyan/work/workspace/Qualificacao/repos/MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/MCReader.java,de.syss.MifareClassicTool.MCReader,Logic as Control Flow,if (mHasAllZeroKey && (!keys[1].equals(DEFAULT_KEY))) {     mKeysWithOrder.add(1 keys[1]); } else {     mKeysWithOrder.add(0 keys[1]); },689
