Path,Class,Atom,Snippet,Line
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/consumers/ConsumeLiquidsDynamic.java,mindustry.world.consumers.ConsumeLiquidsDynamic,Pre Increment Decrement,((++i) % 4),47
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/consumers/ConsumeLiquidsDynamic.java,mindustry.world.consumers.ConsumeLiquidsDynamic,Logic as Control Flow,() -> (build.liquids != null) && (build.liquids.get(stack.liquid) > 0),46
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/audio/SoundLoop.java,mindustry.audio.SoundLoop,Infix Operator Precedence,volume + fadeSpeed * Time.delta,35
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/audio/SoundLoop.java,mindustry.audio.SoundLoop,Infix Operator Precedence,volume - fadeSpeed * Time.delta,37
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Conditional Operator,(peekAmmo() == null ? 0.0F : peekAmmo().estimateDPS()),235
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Conditional Operator,isShooting() ? 1 : 0,299
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Conditional Operator,(isControlled() ? unit.isShooting() : logicControlled() ? logicShooting : target != null),311
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Conditional Operator,logicControlled() ? logicShooting : target != null,311
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Conditional Operator,bullet.speed <= 0.01F ? 1.0E8F : bullet.speed,342
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Conditional Operator,((isShooting() && canConsume()) || charging()) ? 1.0F : 0.0F,361
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Conditional Operator,(warmupTarget > 0 ? efficiency : 1.0F),371
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Conditional Operator,(warmupTarget > 0 ? efficiency : 1.0F),373
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Conditional Operator,(charging()) ? Mathf.approachDelta(charge 1 1 / shoot.firstShotDelay) : 0,386
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Conditional Operator,canHeal() ? Team.derelict : team,463
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Conditional Operator,cheating() ? 1.0F : 0.0F,495
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Conditional Operator,ammo.size == 0 ? null : ammo.peek().type(),513
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Conditional Operator,(hasAmmo()) ? peekAmmo().reloadMultiplier : 1.0F,534
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Conditional Operator,(type.scaleLife) ? Mathf.clamp(Mathf.dst(bulletX bulletY targetPos.x targetPos.y) / type.range minRange / type.range range() / type.range) : 1.0F,587
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Conditional Operator,(shootEffect == null ? type.shootEffect : shootEffect),592
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Conditional Operator,(smokeEffect == null ? type.smokeEffect : smokeEffect),593
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Logic as Control Flow,if ((type == LAccess.shoot) && (!unit.isPlayer())) {     targetPos.set(World.unconv(((float) (p1))) World.unconv(((float) (p2))));     logicControlTime = logicControlCooldown;     logicShooting = !Mathf.zero(p3); },268
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Logic as Control Flow,if ((type == LAccess.shootp) && ((unit == null) || (!unit.isPlayer()))) {     logicControlTime = logicControlCooldown;     logicShooting = !Mathf.zero(p2);     if (p1 instanceof Posc pos) {         targetPosition(pos);     } },279
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Logic as Control Flow,(type == LAccess.shootp) && ((unit == null) || (!unit.isPlayer())),279
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Logic as Control Flow,return alwaysShooting || (isControlled() ? unit.isShooting() : logicControlled() ? logicShooting : target != null),311
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Logic as Control Flow,((isShooting() && canConsume()) || charging()) ? 1.0F : 0.0F,361
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Logic as Control Flow,(isShooting() && canConsume()) || charging(),361
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Logic as Control Flow,if (((warmupTarget > 0) && (shootWarmup >= minWarmup)) && (!isControlled())) {     warmupHold = 1.0F; },362
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Logic as Control Flow,((!alwaysShooting) && (Angles.angleDist(rotation targetRot) < shootCone)) && canShoot,436
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Logic as Control Flow,if ((coolant != null) && (liquids.currentAmount() <= 0.001F)) {     Events.fire(turretCool); },455
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Logic as Control Flow,return ((!Units.invalidateTarget(target canHeal() ? Team.derelict : team x y)) || isControlled()) || logicControlled(),463
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Logic as Control Flow,((!Units.invalidateTarget(target canHeal() ? Team.derelict : team x y)) || isControlled()) || logicControlled(),463
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Logic as Control Flow,return ((targetHealing && hasAmmo()) && peekAmmo().collidesTeam) && peekAmmo().heals(),467
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Logic as Control Flow,((targetHealing && hasAmmo()) && peekAmmo().collidesTeam) && peekAmmo().heals(),467
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Logic as Control Flow,((targetHealing && hasAmmo()) && peekAmmo().collidesTeam),467
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Logic as Control Flow,( e) -> ((!e.dead()) && (!e.isGrounded())) && unitFilter.get(e),474
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Logic as Control Flow,((!e.dead()) && (!e.isGrounded())) && unitFilter.get(e),474
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Logic as Control Flow,( e) -> (((!e.dead()) && unitFilter.get(e)) && (e.isGrounded() || targetAir)) && ((!e.isGrounded()) || targetGround),476
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Logic as Control Flow,(((!e.dead()) && unitFilter.get(e)) && (e.isGrounded() || targetAir)) && ((!e.isGrounded()) || targetGround),476
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Logic as Control Flow,(((!e.dead()) && unitFilter.get(e)) && (e.isGrounded() || targetAir)),476
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Logic as Control Flow,( b) -> targetGround && buildingFilter.get(b),476
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Logic as Control Flow,if ((target == null) && canHeal()) {     target = Units.findAllyTile(team x y range ( b) -> b.damaged() && (b != this)); },479
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Logic as Control Flow,return moveWhileCharging || (!charging()),489
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Logic as Control Flow,if (((ammo.size >= 2) && (ammo.peek().amount < ammoPerShot)) && (ammo.get(ammo.size - 2).amount >= ammoPerShot)) {     ammo.swap(ammo.size - 1 ammo.size - 2); },522
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Logic as Control Flow,((ammo.size >= 2) && (ammo.peek().amount < ammoPerShot)) && (ammo.get(ammo.size - 2).amount >= ammoPerShot),522
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Logic as Control Flow,return (ammo.size > 0) && ((ammo.peek().amount >= ammoPerShot) || cheating()),526
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Logic as Control Flow,(ammo.size > 0) && ((ammo.peek().amount >= ammoPerShot) || cheating()),526
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Logic as Control Flow,((reloadCounter >= reload) && (!charging())) && (shootWarmup >= minWarmup),543
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Logic as Control Flow,if (dead || ((!consumeAmmoOnce) && (!hasAmmo())))     return; ,579
/home/jovyan/work/workspace/Qualificacao/repos/Mindustry/core/src/mindustry/world/blocks/defense/turrets/Turret.java,mindustry.world.blocks.defense.turrets.Turret,Logic as Control Flow,dead || ((!consumeAmmoOnce) && (!hasAmmo())),579
