Path,Class,Atom,Snippet,Line
/home/jovyan/work/workspace/Qualificacao/repos/NewPipe/app/src/main/java/org/schabi/newpipe/views/FocusAwareSeekBar.java,org.schabi.newpipe.views.FocusAwareSeekBar,Conditional Operator,(l == null) ? null : new NestedListener(l),56
/home/jovyan/work/workspace/Qualificacao/repos/NewPipe/app/src/main/java/org/schabi/newpipe/views/FocusAwareSeekBar.java,org.schabi.newpipe.views.FocusAwareSeekBar,Logic as Control Flow,if ((!isInTouchMode()) && DeviceUtils.isConfirmKey(keyCode)) {     releaseTrack(); },63
/home/jovyan/work/workspace/Qualificacao/repos/NewPipe/app/src/main/java/org/schabi/newpipe/views/FocusAwareSeekBar.java,org.schabi.newpipe.views.FocusAwareSeekBar,Logic as Control Flow,if ((treeObserver == null) || (!treeObserver.isAlive())) {     treeObserver = getViewTreeObserver(); },96
/home/jovyan/work/workspace/Qualificacao/repos/NewPipe/app/src/main/java/org/schabi/newpipe/views/ExpandableSurfaceView.java,org.schabi.newpipe.views.ExpandableSurfaceView,Infix Operator Precedence,videoAspectRatio / viewAspectRatio - 1,43
/home/jovyan/work/workspace/Qualificacao/repos/NewPipe/app/src/main/java/org/schabi/newpipe/views/ExpandableSurfaceView.java,org.schabi.newpipe.views.ExpandableSurfaceView,Conditional Operator,(((maxHeight != 0) && (resizeMode != RESIZE_MODE_FIT)) && verticalVideo) ? maxHeight : baseHeight,34
/home/jovyan/work/workspace/Qualificacao/repos/NewPipe/app/src/main/java/org/schabi/newpipe/views/ExpandableSurfaceView.java,org.schabi.newpipe.views.ExpandableSurfaceView,Type Conversion,(int) (width / videoAspectRatio),49
/home/jovyan/work/workspace/Qualificacao/repos/NewPipe/app/src/main/java/org/schabi/newpipe/views/ExpandableSurfaceView.java,org.schabi.newpipe.views.ExpandableSurfaceView,Type Conversion,(int) (height * videoAspectRatio),51
/home/jovyan/work/workspace/Qualificacao/repos/NewPipe/app/src/main/java/org/schabi/newpipe/fragments/list/BaseListFragment.java,org.schabi.newpipe.fragments.list.BaseListFragment,Conditional Operator,itemViewMode == ItemViewMode.GRID ? getGridLayoutManager() : getListLayoutManager(),226
/home/jovyan/work/workspace/Qualificacao/repos/NewPipe/app/src/main/java/org/schabi/newpipe/fragments/list/BaseListFragment.java,org.schabi.newpipe.fragments.list.BaseListFragment,Logic as Control Flow,"if (itemsList.canScrollVertically(1) || itemsList.canScrollVertically(-1)) {     log(""View is scrollable"");     useNormalItemListScrollListener();     return; }",349
/home/jovyan/work/workspace/Qualificacao/repos/NewPipe/app/src/main/java/org/schabi/newpipe/fragments/list/BaseListFragment.java,org.schabi.newpipe.fragments.list.BaseListFragment,Logic as Control Flow,if (hasMoreItems() && (!isLoading.get())) {     loadMoreItems(); },384
