Path,Class,Atom,Snippet,Line
/home/jovyan/work/workspace/Qualificacao/repos/OpenHub/app/src/main/java/com/thirtydegreesray/openhub/util/ViewUtils.java,com.thirtydegreesray.openhub.util.ViewUtils,Infix Operator Precedence,view.getX() + width / 2,50
/home/jovyan/work/workspace/Qualificacao/repos/OpenHub/app/src/main/java/com/thirtydegreesray/openhub/util/ViewUtils.java,com.thirtydegreesray.openhub.util.ViewUtils,Infix Operator Precedence,view.getY() + height / 2,51
/home/jovyan/work/workspace/Qualificacao/repos/OpenHub/app/src/main/java/com/thirtydegreesray/openhub/util/ViewUtils.java,com.thirtydegreesray.openhub.util.ViewUtils,Infix Operator Precedence,1 - (0.299 * Color.red(color) + 0.587 * Color.green(color) + 0.114 * Color.blue(color)) / 255,241
/home/jovyan/work/workspace/Qualificacao/repos/OpenHub/app/src/main/java/com/thirtydegreesray/openhub/util/ViewUtils.java,com.thirtydegreesray.openhub.util.ViewUtils,Conditional Operator,withAlpha ? ((alpha + red) + green) + blue : (red + green) + blue,233
/home/jovyan/work/workspace/Qualificacao/repos/OpenHub/app/src/main/java/com/thirtydegreesray/openhub/util/ViewUtils.java,com.thirtydegreesray.openhub.util.ViewUtils,Conditional Operator,"colorStr.length() == 1 ? ""0"" + colorStr : colorStr",237
/home/jovyan/work/workspace/Qualificacao/repos/OpenHub/app/src/main/java/com/thirtydegreesray/openhub/util/ViewUtils.java,com.thirtydegreesray.openhub.util.ViewUtils,Logic as Control Flow,if ((menuItem.getSubMenu() == null) || (menuItem.getSubMenu().size() == 0)) {     return null; },85
/home/jovyan/work/workspace/Qualificacao/repos/OpenHub/app/src/main/java/com/thirtydegreesray/openhub/ui/fragment/RepoFilesFragment.java,com.thirtydegreesray.openhub.ui.fragment.RepoFilesFragment,Logic as Control Flow,if ((keyCode == KeyEvent.KEYCODE_BACK) && (event.getAction() == KeyEvent.ACTION_DOWN)) {     return mPresenter.goBack(); },130
/home/jovyan/work/workspace/Qualificacao/repos/OpenHub/app/src/main/java/com/thirtydegreesray/openhub/mvp/presenter/NotificationsPresenter.java,com.thirtydegreesray.openhub.mvp.presenter.NotificationsPresenter,Logic as Control Flow,if ((response.body().size() == 0) && (notifications.size() != 0)) {     mView.setCanLoadMore(false); } else {     sortedNotifications = sortNotifications(notifications);     mView.showNotifications(sortedNotifications); },75
/home/jovyan/work/workspace/Qualificacao/repos/OpenHub/app/src/main/java/com/thirtydegreesray/openhub/mvp/presenter/NotificationsPresenter.java,com.thirtydegreesray.openhub.mvp.presenter.NotificationsPresenter,Logic as Control Flow,if ((model.getM2() != null) && model.getM2().isUnread()) {     return false; },125
/home/jovyan/work/workspace/Qualificacao/repos/OpenHub/app/src/main/java/com/thirtydegreesray/openhub/mvp/presenter/NotificationsPresenter.java,com.thirtydegreesray.openhub.mvp.presenter.NotificationsPresenter,Logic as Control Flow,if ((model.getM2() != null) && (model.getM2().getRepository().getId() == repository.getId())) {     model.getM2().setUnread(false); },139
