Path,Class,Atom,Snippet,Line
/home/jovyan/work/workspace/Qualificacao/repos/OsmAnd/OsmAnd/src/net/osmand/plus/wikivoyage/search/WikivoyageSearchDialogFragment.java,net.osmand.plus.wikivoyage.search.WikivoyageSearchDialogFragment,Logic as Control Flow,if ((items == null) || items.isEmpty()) {     TravelLocalDataHelper ldh = app.getTravelHelper().getBookmarksHelper();     adapter.setHistoryItems(ldh.getAllHistory()); } else {     adapter.setItems(items); },135
/home/jovyan/work/workspace/Qualificacao/repos/OsmAnd/OsmAnd-java/src/main/java/net/osmand/osm/edit/OsmMapUtils.java,net.osmand.osm.edit.OsmMapUtils,Infix Operator Precedence,C * C + D * D,378
/home/jovyan/work/workspace/Qualificacao/repos/OsmAnd/OsmAnd-java/src/main/java/net/osmand/osm/edit/OsmMapUtils.java,net.osmand.osm.edit.OsmMapUtils,Infix Operator Precedence,xVal.get(i - 1) * yVal.get(i) - xVal.get(i) * yVal.get(i - 1),535
/home/jovyan/work/workspace/Qualificacao/repos/OsmAnd/OsmAnd-java/src/main/java/net/osmand/osm/edit/OsmMapUtils.java,net.osmand.osm.edit.OsmMapUtils,Infix Operator Precedence,minX + width / 2,588
/home/jovyan/work/workspace/Qualificacao/repos/OsmAnd/OsmAnd-java/src/main/java/net/osmand/osm/edit/OsmMapUtils.java,net.osmand.osm.edit.OsmMapUtils,Infix Operator Precedence,minY + height / 2,588
/home/jovyan/work/workspace/Qualificacao/repos/OsmAnd/OsmAnd-java/src/main/java/net/osmand/osm/edit/OsmMapUtils.java,net.osmand.osm.edit.OsmMapUtils,Infix Operator Precedence,aLon * bLat - bLon * aLat,636
/home/jovyan/work/workspace/Qualificacao/repos/OsmAnd/OsmAnd-java/src/main/java/net/osmand/osm/edit/OsmMapUtils.java,net.osmand.osm.edit.OsmMapUtils,Infix Operator Precedence,this.d + this.h * Math.sqrt(2),672
/home/jovyan/work/workspace/Qualificacao/repos/OsmAnd/OsmAnd-java/src/main/java/net/osmand/osm/edit/OsmMapUtils.java,net.osmand.osm.edit.OsmMapUtils,Infix Operator Precedence,((px - x) * dx + (py - y) * dy) / (dx * dx + dy * dy),707
/home/jovyan/work/workspace/Qualificacao/repos/OsmAnd/OsmAnd-java/src/main/java/net/osmand/osm/edit/OsmMapUtils.java,net.osmand.osm.edit.OsmMapUtils,Infix Operator Precedence,dx * dx + dy * dy,721
/home/jovyan/work/workspace/Qualificacao/repos/OsmAnd/OsmAnd-java/src/main/java/net/osmand/osm/edit/OsmMapUtils.java,net.osmand.osm.edit.OsmMapUtils,Post Increment Decrement,j = i++,628
/home/jovyan/work/workspace/Qualificacao/repos/OsmAnd/OsmAnd-java/src/main/java/net/osmand/osm/edit/OsmMapUtils.java,net.osmand.osm.edit.OsmMapUtils,Post Increment Decrement,j = i++,681
/home/jovyan/work/workspace/Qualificacao/repos/OsmAnd/OsmAnd-java/src/main/java/net/osmand/osm/edit/OsmMapUtils.java,net.osmand.osm.edit.OsmMapUtils,Conditional Operator,(area) ? getComplexPolyCenter(nodes null) : getWeightCenterForNodes(nodes),166
/home/jovyan/work/workspace/Qualificacao/repos/OsmAnd/OsmAnd-java/src/main/java/net/osmand/osm/edit/OsmMapUtils.java,net.osmand.osm.edit.OsmMapUtils,Conditional Operator,(node.getLatitude() < node2.getLatitude()) ? node : node2,450
