Path,Class,Atom,Snippet,Line
/home/jovyan/work/workspace/Qualificacao/repos/PocketHub/app/src/main/java/com/github/pockethub/android/markwon/SvgDrawableTranscoder.java,com.github.pockethub.android.markwon.SvgDrawableTranscoder,Conditional Operator,(svg.getDocumentWidth() > 0) ? ((int) (svg.getDocumentWidth())) : 1024,23
/home/jovyan/work/workspace/Qualificacao/repos/PocketHub/app/src/main/java/com/github/pockethub/android/markwon/SvgDrawableTranscoder.java,com.github.pockethub.android.markwon.SvgDrawableTranscoder,Conditional Operator,((int) ((svg.getDocumentHeight() > 0) ? svg.getDocumentHeight() : width / ratio)),24
/home/jovyan/work/workspace/Qualificacao/repos/PocketHub/app/src/main/java/com/github/pockethub/android/core/repo/RepositoryEventMatcher.java,com.github.pockethub.android.core.repo.RepositoryEventMatcher,Logic as Control Flow,if ((event == null) || (event.payload() == null)) {     return null; },43
/home/jovyan/work/workspace/Qualificacao/repos/PocketHub/app/src/main/java/com/github/pockethub/android/core/repo/RepositoryEventMatcher.java,com.github.pockethub.android.core.repo.RepositoryEventMatcher,Logic as Control Flow,if ((((repository != null) && (!TextUtils.isEmpty(repository.name()))) && (repository.owner() != null)) && (!TextUtils.isEmpty(repository.owner().login()))) {     return repository; },51
/home/jovyan/work/workspace/Qualificacao/repos/PocketHub/app/src/main/java/com/github/pockethub/android/core/repo/RepositoryEventMatcher.java,com.github.pockethub.android.core.repo.RepositoryEventMatcher,Logic as Control Flow,(((repository != null) && (!TextUtils.isEmpty(repository.name()))) && (repository.owner() != null)) && (!TextUtils.isEmpty(repository.owner().login())),51
/home/jovyan/work/workspace/Qualificacao/repos/PocketHub/app/src/main/java/com/github/pockethub/android/core/repo/RepositoryEventMatcher.java,com.github.pockethub.android.core.repo.RepositoryEventMatcher,Logic as Control Flow,(((repository != null) && (!TextUtils.isEmpty(repository.name()))) && (repository.owner() != null)),51
/home/jovyan/work/workspace/Qualificacao/repos/PocketHub/app/src/main/java/com/github/pockethub/android/core/repo/RepositoryEventMatcher.java,com.github.pockethub.android.core.repo.RepositoryEventMatcher,Logic as Control Flow,if ((CreateEvent.equals(type) || WatchEvent.equals(type)) || PublicEvent.equals(type)) {     return ConvertUtils.eventRepoToRepo(event.repo()); },58
/home/jovyan/work/workspace/Qualificacao/repos/PocketHub/app/src/main/java/com/github/pockethub/android/core/repo/RepositoryEventMatcher.java,com.github.pockethub.android.core.repo.RepositoryEventMatcher,Logic as Control Flow,(CreateEvent.equals(type) || WatchEvent.equals(type)) || PublicEvent.equals(type),58
/home/jovyan/work/workspace/Qualificacao/repos/PocketHub/app/src/main/java/com/github/pockethub/android/ui/WebView.java,com.github.pockethub.android.ui.WebView,Logic as Control Flow,if (intercept && (getParent() != null)) {     getParent().requestDisallowInterceptTouchEvent(true); },73
/home/jovyan/work/workspace/Qualificacao/repos/PocketHub/app/src/main/java/com/github/pockethub/android/core/gist/GistEventMatcher.java,com.github.pockethub.android.core.gist.GistEventMatcher,Logic as Control Flow,if ((event == null) || (event.payload() == null)) {     return null; },36
/home/jovyan/work/workspace/Qualificacao/repos/PocketHub/app/src/main/java/com/github/pockethub/android/persistence/AccountDataManager.java,com.github.pockethub.android.persistence.AccountDataManager,Conditional Operator,forceReload ? dbCache.requestAndStore(userAndOrgsResource) : dbCache.loadOrRequest(userAndOrgsResource),162
/home/jovyan/work/workspace/Qualificacao/repos/PocketHub/app/src/main/java/com/github/pockethub/android/persistence/AccountDataManager.java,com.github.pockethub.android.persistence.AccountDataManager,Conditional Operator,forceReload ? dbCache.requestAndStore(resource) : dbCache.loadOrRequest(resource),181
/home/jovyan/work/workspace/Qualificacao/repos/PocketHub/app/src/main/java/com/github/pockethub/android/persistence/AccountDataManager.java,com.github.pockethub.android.persistence.AccountDataManager,Conditional Operator,repo.organization() != null ? repo.organization().id() : null,295
/home/jovyan/work/workspace/Qualificacao/repos/PocketHub/app/src/main/java/com/github/pockethub/android/persistence/AccountDataManager.java,com.github.pockethub.android.persistence.AccountDataManager,Conditional Operator,filter.getMilestone() != null ? filter.getMilestone().id() : null,345
/home/jovyan/work/workspace/Qualificacao/repos/PocketHub/app/src/main/java/com/github/pockethub/android/persistence/AccountDataManager.java,com.github.pockethub.android.persistence.AccountDataManager,Conditional Operator,filter.getAssignee() != null ? filter.getAssignee().id() : null,346
/home/jovyan/work/workspace/Qualificacao/repos/PocketHub/app/src/main/java/com/github/pockethub/android/util/GravatarUtils.java,com.github.pockethub.android.util.GravatarUtils,Conditional Operator,email.length() > 0 ? digest(email) : null,97
/home/jovyan/work/workspace/Qualificacao/repos/PocketHub/app/src/main/java/com/github/pockethub/android/core/code/RefreshTreeTask.java,com.github.pockethub.android.core.code.RefreshTreeTask,Logic as Control Flow,return ((ref != null) && (ref.object() != null)) && (!TextUtils.isEmpty(ref.object().sha())),67
/home/jovyan/work/workspace/Qualificacao/repos/PocketHub/app/src/main/java/com/github/pockethub/android/core/code/RefreshTreeTask.java,com.github.pockethub.android.core.code.RefreshTreeTask,Logic as Control Flow,((ref != null) && (ref.object() != null)) && (!TextUtils.isEmpty(ref.object().sha())),67
/home/jovyan/work/workspace/Qualificacao/repos/PocketHub/app/src/main/java/com/github/pockethub/android/core/issue/IssueStore.java,com.github.pockethub.android.core.issue.IssueStore,Conditional Operator,repoIssues != null ? repoIssues.get(number) : null,70
/home/jovyan/work/workspace/Qualificacao/repos/PocketHub/app/src/main/java/com/github/pockethub/android/core/issue/IssueStore.java,com.github.pockethub.android.core.issue.IssueStore,Logic as Control Flow,if ((url == null) || (url.length() == 0)) {     return null; },91
/home/jovyan/work/workspace/Qualificacao/repos/PocketHub/app/src/main/java/com/github/pockethub/android/core/issue/IssueStore.java,com.github.pockethub.android.core.issue.IssueStore,Logic as Control Flow,if ((((owner != null) && (owner.length() > 0)) && (name != null)) && (name.length() > 0)) {     return InfoUtils.createRepoFromData(owner name); } else {     return null; },109
/home/jovyan/work/workspace/Qualificacao/repos/PocketHub/app/src/main/java/com/github/pockethub/android/core/issue/IssueStore.java,com.github.pockethub.android.core.issue.IssueStore,Logic as Control Flow,(((owner != null) && (owner.length() > 0)) && (name != null)),109
