Path,Class,Atom,Snippet,Line
/home/jovyan/work/workspace/Qualificacao/repos/VirtualXposed/VirtualApp/lib/src/main/java/com/lody/virtual/client/hook/proxies/notification/NotificationManagerStub.java,com.lody.virtual.client.hook.proxies.notification.NotificationManagerStub,Conditional Operator,(BuildCompat.isQ()) ? 2 : 1,63
/home/jovyan/work/workspace/Qualificacao/repos/VirtualXposed/VirtualApp/lib/src/main/java/com/lody/virtual/client/ipc/VDeviceManager.java,com.lody.virtual.client.ipc.VDeviceManager,Logic as Control Flow,if ((mRemote == null) || ((!mRemote.asBinder().pingBinder()) && (!VirtualCore.get().isVAppProcess()))) {     synchronized(this) {         Object remote = getRemoteInterface();         mRemote = LocalProxyUtils.genProxy(IDeviceInfoManager.class remote);     } },27
/home/jovyan/work/workspace/Qualificacao/repos/VirtualXposed/VirtualApp/lib/src/main/java/com/lody/virtual/client/ipc/VDeviceManager.java,com.lody.virtual.client.ipc.VDeviceManager,Logic as Control Flow,(mRemote == null) || ((!mRemote.asBinder().pingBinder()) && (!VirtualCore.get().isVAppProcess())),28
/home/jovyan/work/workspace/Qualificacao/repos/VirtualXposed/VirtualApp/lib/src/main/java/com/lody/virtual/server/accounts/VAccountManagerService.java,com.lody.virtual.server.accounts.VAccountManagerService,Infix Operator Precedence,((this.userId * 31 + this.account.hashCode()) * 31                     + this.authTokenType.hashCode()) * 31                     + this.packageName.hashCode(),1066
/home/jovyan/work/workspace/Qualificacao/repos/VirtualXposed/VirtualApp/lib/src/main/java/com/lody/virtual/server/accounts/VAccountManagerService.java,com.lody.virtual.server.accounts.VAccountManagerService,Post Increment Decrement,(size--) > 0,947
/home/jovyan/work/workspace/Qualificacao/repos/VirtualXposed/VirtualApp/lib/src/main/java/com/lody/virtual/server/accounts/VAccountManagerService.java,com.lody.virtual.server.accounts.VAccountManagerService,Conditional Operator,(vAccount != null) ? vAccount.authTokens.get(authTokenType) : null,241
/home/jovyan/work/workspace/Qualificacao/repos/VirtualXposed/VirtualApp/lib/src/main/java/com/lody/virtual/server/accounts/VAccountManagerService.java,com.lody.virtual.server.accounts.VAccountManagerService,Conditional Operator,"(requiredFeatures != null ? TextUtils.join("""" requiredFeatures) : null)",612
/home/jovyan/work/workspace/Qualificacao/repos/VirtualXposed/VirtualApp/lib/src/main/java/com/lody/virtual/server/accounts/VAccountManagerService.java,com.lody.virtual.server.accounts.VAccountManagerService,Conditional Operator,type == null ? null : cache.authenticators.get(type),843
/home/jovyan/work/workspace/Qualificacao/repos/VirtualXposed/VirtualApp/lib/src/main/java/com/lody/virtual/server/accounts/VAccountManagerService.java,com.lody.virtual.server.accounts.VAccountManagerService,Conditional Operator,"(mFeatures != null ? TextUtils.join("""" mFeatures) : null)",1412
/home/jovyan/work/workspace/Qualificacao/repos/VirtualXposed/VirtualApp/lib/src/main/java/com/lody/virtual/server/accounts/VAccountManagerService.java,com.lody.virtual.server.accounts.VAccountManagerService,Logic as Control Flow,if ((type == null) || vAccount.type.equals(type)) {     accounts.add(new Account(vAccount.name vAccount.type)); },179
