Path,Class,Atom,Snippet,Line
/home/jovyan/work/workspace/Qualificacao/repos/bitcoin-wallet/wallet/src/de/schildbach/wallet/ui/scan/ScannerView.java,de.schildbach.wallet.ui.scan.ScannerView,Conditional Operator,cameraFlip ? -1 : 1,86
/home/jovyan/work/workspace/Qualificacao/repos/bitcoin-wallet/wallet/src/de/schildbach/wallet/ui/scan/ScannerView.java,de.schildbach.wallet.ui.scan.ScannerView,Conditional Operator,isResult ? maskResultColor : maskColor,117
/home/jovyan/work/workspace/Qualificacao/repos/bitcoin-wallet/wallet/src/de/schildbach/wallet/ui/scan/ScannerView.java,de.schildbach.wallet.ui.scan.ScannerView,Conditional Operator,laserPhase ? 160 : 255,131
/home/jovyan/work/workspace/Qualificacao/repos/bitcoin-wallet/wallet/src/de/schildbach/wallet/ui/scan/ScannerView.java,de.schildbach.wallet.ui.scan.ScannerView,Type Conversion,(int) ((DOT_TTL_MS - age) * 256 / DOT_TTL_MS),146
/home/jovyan/work/workspace/Qualificacao/repos/bitcoin-wallet/wallet/src/de/schildbach/wallet/util/ViewPagerTabs.java,de.schildbach.wallet.util.ViewPagerTabs,Infix Operator Precedence,getPaddingLeft() + viewWidth / 2,103
/home/jovyan/work/workspace/Qualificacao/repos/bitcoin-wallet/wallet/src/de/schildbach/wallet/util/ViewPagerTabs.java,de.schildbach.wallet.util.ViewPagerTabs,Infix Operator Precedence,viewBottom - 5 * density,110
/home/jovyan/work/workspace/Qualificacao/repos/bitcoin-wallet/wallet/src/de/schildbach/wallet/util/ViewPagerTabs.java,de.schildbach.wallet.util.ViewPagerTabs,Infix Operator Precedence,viewHalfWidth + 5 * density,111
/home/jovyan/work/workspace/Qualificacao/repos/bitcoin-wallet/wallet/src/de/schildbach/wallet/util/ViewPagerTabs.java,de.schildbach.wallet.util.ViewPagerTabs,Infix Operator Precedence,viewHalfWidth - 5 * density,112
/home/jovyan/work/workspace/Qualificacao/repos/bitcoin-wallet/wallet/src/de/schildbach/wallet/util/ViewPagerTabs.java,de.schildbach.wallet.util.ViewPagerTabs,Infix Operator Precedence,getPaddingLeft() + labelWidth * i + leftPadding,153
/home/jovyan/work/workspace/Qualificacao/repos/bitcoin-wallet/wallet/src/de/schildbach/wallet/util/ViewPagerTabs.java,de.schildbach.wallet.util.ViewPagerTabs,Conditional Operator,i == pagePosition ? Typeface.DEFAULT_BOLD : Typeface.DEFAULT,124
/home/jovyan/work/workspace/Qualificacao/repos/bitcoin-wallet/wallet/src/de/schildbach/wallet/util/ViewPagerTabs.java,de.schildbach.wallet.util.ViewPagerTabs,Conditional Operator,i == pagePosition ? selectedTextColor : textColor,125
/home/jovyan/work/workspace/Qualificacao/repos/bitcoin-wallet/wallet/src/de/schildbach/wallet/util/ViewPagerTabs.java,de.schildbach.wallet.util.ViewPagerTabs,Conditional Operator,(labelLeft >= 0) ? 1.0F : 1.0F - ((-labelLeft) / labelWidth),132
/home/jovyan/work/workspace/Qualificacao/repos/bitcoin-wallet/wallet/src/de/schildbach/wallet/util/ViewPagerTabs.java,de.schildbach.wallet.util.ViewPagerTabs,Conditional Operator,(labelRight < viewWidth) ? 1.0F : 1.0F - ((labelRight - viewWidth) / labelWidth),135
/home/jovyan/work/workspace/Qualificacao/repos/bitcoin-wallet/wallet/src/de/schildbach/wallet/util/ViewPagerTabs.java,de.schildbach.wallet.util.ViewPagerTabs,Type Conversion,(int) (labelVisible * 255),139
