Path,Class,Atom,Snippet,Line
/home/jovyan/work/workspace/Qualificacao/repos/pixel-dungeon/src/com/watabou/pixeldungeon/plants/Sungrass.java,com.watabou.pixeldungeon.plants.Sungrass,Infix Operator Precedence,target.HP + target.HT / 10,92
/home/jovyan/work/workspace/Qualificacao/repos/pixel-dungeon/src/com/watabou/pixeldungeon/levels/SewerBossLevel.java,com.watabou.pixeldungeon.levels.SewerBossLevel,Infix Operator Precedence,roomExit.top * WIDTH + roomExit.left + 1,152
/home/jovyan/work/workspace/Qualificacao/repos/pixel-dungeon/src/com/watabou/pixeldungeon/levels/SewerBossLevel.java,com.watabou.pixeldungeon.levels.SewerBossLevel,Post Increment Decrement,(innerRetry++) > 10,68
/home/jovyan/work/workspace/Qualificacao/repos/pixel-dungeon/src/com/watabou/pixeldungeon/levels/SewerBossLevel.java,com.watabou.pixeldungeon.levels.SewerBossLevel,Post Increment Decrement,(innerRetry++) > 10,76
/home/jovyan/work/workspace/Qualificacao/repos/pixel-dungeon/src/com/watabou/pixeldungeon/levels/SewerBossLevel.java,com.watabou.pixeldungeon.levels.SewerBossLevel,Post Increment Decrement,(retry++) > 10,85
/home/jovyan/work/workspace/Qualificacao/repos/pixel-dungeon/src/com/watabou/pixeldungeon/levels/SewerBossLevel.java,com.watabou.pixeldungeon.levels.SewerBossLevel,Logic as Control Flow,do {     if ((innerRetry++) > 10) {         return false;     }     roomEntrance = Random.element(rooms); } while ((roomEntrance.width() < 4) || (roomEntrance.height() < 4) ),72
/home/jovyan/work/workspace/Qualificacao/repos/pixel-dungeon/src/com/watabou/pixeldungeon/levels/SewerBossLevel.java,com.watabou.pixeldungeon.levels.SewerBossLevel,Logic as Control Flow,(((roomExit == roomEntrance) || (roomExit.width() < 6)) || (roomExit.height() < 6)) || (roomExit.top == 0),80
/home/jovyan/work/workspace/Qualificacao/repos/pixel-dungeon/src/com/watabou/pixeldungeon/levels/SewerBossLevel.java,com.watabou.pixeldungeon.levels.SewerBossLevel,Logic as Control Flow,(((roomExit == roomEntrance) || (roomExit.width() < 6)) || (roomExit.height() < 6)),80
/home/jovyan/work/workspace/Qualificacao/repos/pixel-dungeon/src/com/watabou/pixeldungeon/levels/SewerBossLevel.java,com.watabou.pixeldungeon.levels.SewerBossLevel,Logic as Control Flow,if ((r.type == Type.NULL) && (r.connected.size() > 0)) {     r.type = Type.TUNNEL; },114
/home/jovyan/work/workspace/Qualificacao/repos/pixel-dungeon/src/com/watabou/pixeldungeon/effects/particles/ShadowParticle.java,com.watabou.pixeldungeon.effects.particles.ShadowParticle,Infix Operator Precedence,x - speed.x * lifespan,69
