Path,Class,Atom,Snippet,Line
/home/jovyan/work/workspace/Qualificacao/repos/termux-app/termux-shared/src/main/java/com/termux/shared/errors/Error.java,com.termux.shared.errors.Error,Conditional Operator,"TYPE.equals(getType()) ? ""Error Message"" : (""Error Message ("" + getType()) + "")""",274
/home/jovyan/work/workspace/Qualificacao/repos/termux-app/termux-shared/src/main/java/com/termux/shared/errors/Error.java,com.termux.shared.errors.Error,Conditional Operator,"TYPE.equals(type) ? ""Error Message"" : (""Error Message ("" + type) + "")""",287
/home/jovyan/work/workspace/Qualificacao/repos/termux-app/termux-shared/src/main/java/com/termux/shared/errors/Error.java,com.termux.shared.errors.Error,Logic as Control Flow,if ((type != null) && (!type.isEmpty()))     this.type = type; else     this.type = Errno.TYPE; ,72
/home/jovyan/work/workspace/Qualificacao/repos/termux-app/termux-shared/src/main/java/com/termux/shared/errors/Error.java,com.termux.shared.errors.Error,Logic as Control Flow,if ((code != null) && (code > ERRNO_SUCCESS.getCode()))     this.code = code; else     this.code = ERRNO_SUCCESS.getCode(); ,77
/home/jovyan/work/workspace/Qualificacao/repos/termux-app/termux-shared/src/main/java/com/termux/shared/errors/Error.java,com.termux.shared.errors.Error,Logic as Control Flow,if ((message != null) && isStateFailed())     this.message = message + this.message; ,111
/home/jovyan/work/workspace/Qualificacao/repos/termux-app/termux-shared/src/main/java/com/termux/shared/errors/Error.java,com.termux.shared.errors.Error,Logic as Control Flow,if ((message != null) && isStateFailed())     this.message = this.message + message; ,116
/home/jovyan/work/workspace/Qualificacao/repos/termux-app/termux-shared/src/main/java/com/termux/shared/errors/Error.java,com.termux.shared.errors.Error,Logic as Control Flow,if ((type != null) && (!type.isEmpty()))     this.type = type; ,152
/home/jovyan/work/workspace/Qualificacao/repos/termux-app/termux-shared/src/main/java/com/termux/shared/errors/Error.java,com.termux.shared.errors.Error,Logic as Control Flow,"if ((throwablesList != null) && (throwablesList.size() > 0))     logString.append(""\n"").append(geStackTracesLogString()); ",212
/home/jovyan/work/workspace/Qualificacao/repos/termux-app/termux-shared/src/main/java/com/termux/shared/errors/Error.java,com.termux.shared.errors.Error,Logic as Control Flow,"if ((throwablesList != null) && (throwablesList.size() > 0))     markdownString.append(""\n\n"").append(geStackTracesMarkdownString()); ",275
/home/jovyan/work/workspace/Qualificacao/repos/termux-app/terminal-emulator/src/main/java/com/termux/terminal/WcWidth.java,com.termux.terminal.WcWidth,Conditional Operator,intable(WIDE_EASTASIAN ucs) ? 2 : 1,532
/home/jovyan/work/workspace/Qualificacao/repos/termux-app/terminal-emulator/src/main/java/com/termux/terminal/WcWidth.java,com.termux.terminal.WcWidth,Conditional Operator,Character.isHighSurrogate(c) ? width(Character.toCodePoint(c chars[index + 1])) : width(c),538
/home/jovyan/work/workspace/Qualificacao/repos/termux-app/terminal-emulator/src/test/java/com/termux/terminal/TerminalTestCase.java,com.termux.terminal.TerminalTestCase,Pre Increment Decrement,text[++j],156
/home/jovyan/work/workspace/Qualificacao/repos/termux-app/terminal-emulator/src/test/java/com/termux/terminal/TerminalTestCase.java,com.termux.terminal.TerminalTestCase,Post Increment Decrement,chars[charIndex++],219
/home/jovyan/work/workspace/Qualificacao/repos/termux-app/terminal-emulator/src/test/java/com/termux/terminal/TerminalTestCase.java,com.termux.terminal.TerminalTestCase,Post Increment Decrement,chars[charIndex++],221
/home/jovyan/work/workspace/Qualificacao/repos/termux-app/terminal-emulator/src/test/java/com/termux/terminal/TerminalTestCase.java,com.termux.terminal.TerminalTestCase,Conditional Operator,"((styleBits & TextStyle.CHARACTER_ATTRIBUTE_BLINK) != 0 ? "":BLINK:"" : """")",289
/home/jovyan/work/workspace/Qualificacao/repos/termux-app/terminal-emulator/src/test/java/com/termux/terminal/TerminalTestCase.java,com.termux.terminal.TerminalTestCase,Conditional Operator,"((styleBits & TextStyle.CHARACTER_ATTRIBUTE_BOLD) != 0 ? "":BOLD:"" : """")",290
/home/jovyan/work/workspace/Qualificacao/repos/termux-app/terminal-emulator/src/test/java/com/termux/terminal/TerminalTestCase.java,com.termux.terminal.TerminalTestCase,Conditional Operator,"((styleBits & TextStyle.CHARACTER_ATTRIBUTE_INVERSE) != 0 ? "":INVERSE:"" : """")",291
/home/jovyan/work/workspace/Qualificacao/repos/termux-app/terminal-emulator/src/test/java/com/termux/terminal/TerminalTestCase.java,com.termux.terminal.TerminalTestCase,Conditional Operator,"((styleBits & TextStyle.CHARACTER_ATTRIBUTE_INVISIBLE) != 0 ? "":INVISIBLE:"" : """")",292
/home/jovyan/work/workspace/Qualificacao/repos/termux-app/terminal-emulator/src/test/java/com/termux/terminal/TerminalTestCase.java,com.termux.terminal.TerminalTestCase,Conditional Operator,"((styleBits & TextStyle.CHARACTER_ATTRIBUTE_ITALIC) != 0 ? "":ITALIC:"" : """")",293
/home/jovyan/work/workspace/Qualificacao/repos/termux-app/terminal-emulator/src/test/java/com/termux/terminal/TerminalTestCase.java,com.termux.terminal.TerminalTestCase,Conditional Operator,"((styleBits & TextStyle.CHARACTER_ATTRIBUTE_PROTECTED) != 0 ? "":PROTECTED:"" : """")",294
