domain,counts,percentage
github.com,3831,0.7660467906418716
gitlab.com,448,0.08958208358328335
NO DOMAIN,331,0.0661867626474705
codeberg.org,108,0.021595680863827234
sourceforge.net,42,0.008398320335932814
bitbucket.org,32,0.00639872025594881
framagit.org,19,0.003799240151969606
notabug.org,12,0.0023995200959808036
todo.sr.ht,9,0.001799640071985603
0xacab.org,9,0.001799640071985603
bugs.launchpad.net,8,0.0015996800639872025
forum.xda-developers.com,5,0.0009998000399920016
git.platypush.tech,5,0.0009998000399920016
bugs.kde.org,5,0.0009998000399920016
contact.infomaniak.com,4,0.0007998400319936012
lists.zx2c4.com,4,0.0007998400319936012
answers.launchpad.net,3,0.0005998800239952009
invent.kde.org,3,0.0005998800239952009
redmine.nowoczesnapolska.org.pl,3,0.0005998800239952009
code.rocketnine.space,3,0.0005998800239952009
issues.savapage.org,3,0.0005998800239952009
redmine.replicant.us,3,0.0005998800239952009
code.briarproject.org,3,0.0005998800239952009
bugs.gnunet.org,3,0.0005998800239952009
www.github.com,2,0.0003999200159968006
git.mnau.xyz,2,0.0003999200159968006
dev.ed.am,2,0.0003999200159968006
git.mob-dev.fr,2,0.0003999200159968006
debbugs.gnu.org,2,0.0003999200159968006
groups.google.com,2,0.0003999200159968006
git.mosad.xyz,2,0.0003999200159968006
mirakel.atlassian.net,2,0.0003999200159968006
gitlab.altillimity.com,2,0.0003999200159968006
bugs.documentfoundation.org,2,0.0003999200159968006
bugs.ghostscript.com,2,0.0003999200159968006
dictionarymid.stefan1200.de,2,0.0003999200159968006
git.bubu1.eu,2,0.0003999200159968006
contact.faircode.eu,2,0.0003999200159968006
git.anonymousmessenger.ly,2,0.0003999200159968006
tickets.musicbrainz.org,2,0.0003999200159968006
gitlab.tubit.tu-berlin.de,2,0.0003999200159968006
git.jami.net,2,0.0003999200159968006
trac.i2p2.de,2,0.0003999200159968006
soprani.ca,2,0.0003999200159968006
salsa.debian.org,2,0.0003999200159968006
git.silence.dev,2,0.0003999200159968006
forum.asgardius.company,2,0.0003999200159968006
redmine.stoutner.com,2,0.0003999200159968006
gitea.amine-louveau.fr,2,0.0003999200159968006
onscripter.sourceforge.jp,1,0.0001999600079984003
git.mathux.org,1,0.0001999600079984003
gitlab.nuiton.org,1,0.0001999600079984003
pejici.net,1,0.0001999600079984003
bugs.vcmi.eu,1,0.0001999600079984003
www.minetest.net,1,0.0001999600079984003
git.harrault.fr,1,0.0001999600079984003
projektwerk.ucll.be,1,0.0001999600079984003
bugs.sugarlabs.org,1,0.0001999600079984003
edugit.org,1,0.0001999600079984003
sourceforge.jp,1,0.0001999600079984003
solitairecg.sourceforge.io,1,0.0001999600079984003
bugs.ieval.ro,1,0.0001999600079984003
pari.math.u-bordeaux.fr,1,0.0001999600079984003
forge.chapril.org,1,0.0001999600079984003
bugs.scummvm.org,1,0.0001999600079984003
gitea.presley.nz,1,0.0001999600079984003
xwords.sourceforge.net,1,0.0001999600079984003
dev.guardianproject.info,1,0.0001999600079984003
bugs.dolphin-emu.org,1,0.0001999600079984003
git.selfprivacy.org,1,0.0001999600079984003
qsp.su,1,0.0001999600079984003
lists.sr.ht,1,0.0001999600079984003
fossil.shick.xyz,1,0.0001999600079984003
dev.funkwhale.audio,1,0.0001999600079984003
gitlab.inria.fr,1,0.0001999600079984003
git.wow.st,1,0.0001999600079984003
phabricator.wikimedia.org,1,0.0001999600079984003
git.kuschku.de,1,0.0001999600079984003
savannah.nongnu.org,1,0.0001999600079984003
forum.vuze.com,1,0.0001999600079984003
e43oss.atlassian.net,1,0.0001999600079984003
adblockplus.org,1,0.0001999600079984003
git.disroot.org,1,0.0001999600079984003
gitlab.shinice.net,1,0.0001999600079984003
gitlab.metager.de,1,0.0001999600079984003
gitlab.starapps-network.com,1,0.0001999600079984003
git.torrents-csv.ml,1,0.0001999600079984003
jira.catrob.at,1,0.0001999600079984003
code.videolan.org,1,0.0001999600079984003
projects.vdr-developer.org,1,0.0001999600079984003
roadmap.ente.io,1,0.0001999600079984003
tracker.ardour.org,1,0.0001999600079984003
gitlab.e.foundation,1,0.0001999600079984003
groups.yahoo.com,1,0.0001999600079984003
fr.osdn.net,1,0.0001999600079984003
forum.opencaching.pl,1,0.0001999600079984003
f-droid.org,1,0.0001999600079984003
code.seawolfsanctuary.com,1,0.0001999600079984003
mantis.calantas.org,1,0.0001999600079984003
gitpull.it,1,0.0001999600079984003
dev.kervala.net,1,0.0001999600079984003
gitlab.hrz.tu-chemnitz.de,1,0.0001999600079984003
git.card10.badge.events.ccc.de,1,0.0001999600079984003
www.valleytg.com:8090,1,0.0001999600079984003
