domain,counts,percentage
github.com,3945,0.7888422315536893
gitlab.com,474,0.09478104379124175
codeberg.org,108,0.021595680863827234
bitbucket.org,73,0.014597080583883223
code.google.com,64,0.01279744051189762
sourceforge.net,48,0.009598080383923215
archive.softwareheritage.org,36,0.007198560287942412
NO DOMAIN,20,0.003999200159968006
framagit.org,19,0.003799240151969606
bitbucket-archive.softwareheritage.org,14,0.0027994401119776045
notabug.org,12,0.0023995200959808036
gitorious.org,9,0.001799640071985603
0xacab.org,9,0.001799640071985603
invent.kde.org,8,0.0015996800639872025
git.sr.ht,7,0.0013997200559888023
code.launchpad.net,7,0.0013997200559888023
git.platypush.tech,5,0.0009998000399920016
git.savannah.gnu.org,5,0.0009998000399920016
softkeyboard.googlecode.com,4,0.0007998400319936012
git.zx2c4.com,4,0.0007998400319936012
code.briarproject.org,3,0.0005998800239952009
android.googlesource.com,3,0.0005998800239952009
git.mdrn.pl,3,0.0005998800239952009
code.rocketnine.space,3,0.0005998800239952009
git.taler.net,3,0.0005998800239952009
git.replicant.us,3,0.0005998800239952009
git.bubu1.eu,2,0.0003999200159968006
git.mob-dev.fr,2,0.0003999200159968006
git.silence.dev,2,0.0003999200159968006
gitpull.it,2,0.0003999200159968006
galexander.org,2,0.0003999200159968006
www.github.com,2,0.0003999200159968006
gitlab.altillimity.com,2,0.0003999200159968006
dictionarymid.sourceforge.net,2,0.0003999200159968006
git.mosad.xyz,2,0.0003999200159968006
bzr.ed.am,2,0.0003999200159968006
git.ghostscript.com,2,0.0003999200159968006
lisas.de,2,0.0003999200159968006
git.mnau.xyz,2,0.0003999200159968006
gitlab.tubit.tu-berlin.de,2,0.0003999200159968006
git.asgardius.company,2,0.0003999200159968006
git.jami.net,2,0.0003999200159968006
droidwall.googlecode.com,2,0.0003999200159968006
salsa.debian.org,2,0.0003999200159968006
sr.ht,2,0.0003999200159968006
gitea.amine-louveau.fr,2,0.0003999200159968006
gitweb.stoutner.com,2,0.0003999200159968006
git.singpolyma.net,2,0.0003999200159968006
quickmsg.vreeken.net,2,0.0003999200159968006
git.anonymousmessenger.ly,2,0.0003999200159968006
gitlab.lfdi-bw.de,2,0.0003999200159968006
git.osmocom.org,1,0.0001999600079984003
git.mathux.org,1,0.0001999600079984003
purl.org,1,0.0001999600079984003
opensource.srlabs.de,1,0.0001999600079984003
gitlab.nuiton.org,1,0.0001999600079984003
gitlab.linphone.org,1,0.0001999600079984003
git.harrault.fr,1,0.0001999600079984003
projektwerk.ucll.be,1,0.0001999600079984003
edugit.org,1,0.0001999600079984003
gitlab.wikimedia.org,1,0.0001999600079984003
code.webface.bg,1,0.0001999600079984003
gitlab.inria.fr,1,0.0001999600079984003
fossil.shick.xyz,1,0.0001999600079984003
git.tuxfamily.org,1,0.0001999600079984003
pari.math.u-bordeaux.fr,1,0.0001999600079984003
jairajjangle.github.io,1,0.0001999600079984003
forge.chapril.org,1,0.0001999600079984003
git.artsoft.org,1,0.0001999600079984003
git.selfprivacy.org,1,0.0001999600079984003
gitea.angry.im,1,0.0001999600079984003
www.jaqpot.net,1,0.0001999600079984003
git.server47.de,1,0.0001999600079984003
dynamicgandroidapps.svn.cloudforge.com,1,0.0001999600079984003
xwords.sourceforge.net,1,0.0001999600079984003
svn.code.sf.net,1,0.0001999600079984003
git.ieval.ro,1,0.0001999600079984003
qsp-android-player.googlecode.com,1,0.0001999600079984003
gitea.presley.nz,1,0.0001999600079984003
git.covolunablu.org,1,0.0001999600079984003
hg.sr.ht,1,0.0001999600079984003
gitlab.e.foundation,1,0.0001999600079984003
git.ktnx.net,1,0.0001999600079984003
git.kuschku.de,1,0.0001999600079984003
hg.adblockplus.org,1,0.0001999600079984003
git.disroot.org,1,0.0001999600079984003
gitlab.shinice.net,1,0.0001999600079984003
gitlab.metager.de,1,0.0001999600079984003
gitlab.starapps-network.com,1,0.0001999600079984003
git.torrents-csv.ml,1,0.0001999600079984003
code.videolan.org,1,0.0001999600079984003
projects.vdr-developer.org,1,0.0001999600079984003
burnsomni.net,1,0.0001999600079984003
dev.funkwhale.audio,1,0.0001999600079984003
subversion.ardour.org,1,0.0001999600079984003
git.launchpad.net,1,0.0001999600079984003
svnandroid.wikidpad2.webfactional.com,1,0.0001999600079984003
git.wow.st,1,0.0001999600079984003
launchpad.net,1,0.0001999600079984003
sourceforge.jp,1,0.0001999600079984003
aagtl.zoffcc.com,1,0.0001999600079984003
svn.strasweb.fr,1,0.0001999600079984003
code.seawolfsanctuary.com,1,0.0001999600079984003
git.apiote.xyz,1,0.0001999600079984003
cgit.freedesktop.org,1,0.0001999600079984003
bazaar.launchpad.net,1,0.0001999600079984003
dev.kervala.net,1,0.0001999600079984003
gerrit.libreoffice.org,1,0.0001999600079984003
gitlab.hrz.tu-chemnitz.de,1,0.0001999600079984003
www.kismetwireless.net,1,0.0001999600079984003
git.card10.badge.events.ccc.de,1,0.0001999600079984003
git.zarb.org,1,0.0001999600079984003
cgit.kde.org,1,0.0001999600079984003
